Profil,Lieu_de_recherche,Disponibilité,Points_forts,Expérience,Compétence
Concepteur son de théâtre / Régisseur son débutant,France entière,immédiate,"Électroacoustique
Techniques de prise de son
Appréciation auditive
Caler des sons (musique, bruitage, jingle) sur un scénario
Mixer des sources sonores","Master of Philosophy : Music and Media Technologies (Trinity College Dublin)

|
Bac+5 et plus ou équivalents","Animer, coordonner une équipe
(Débutant)
Types de consoles (analogique, numérique)
(Intermédiaire)
Types de tables de mixage
(Intermédiaire)
Utilisation d'équipements de sonorisation
(Intermédiaire)"
Responsable marketing et communication,France entière,immédiate,,"Responsable du planning stratégique

|
Tandem Studio","Concevoir des supports de communication et d'image
Concevoir des supports de communication visuelle
Définir le message d'une campagne médiatique
Définir une ligne éditoriale
Définir une stratégie de communication
Mettre en oeuvre des actions de communication
Mettre en oeuvre des actions de communication interne
Réaliser des actions de relation publique, de diffusion et de promotion de l'information
Réaliser des supports de communication multimédia
Réaliser un journal interne
Rédiger des communiqués de presse
Rédiger le contenu d'un support de communication
Rédiger un cahier des charges, des spécifications techniques"
Ingénieur informatique hardware,France entière,immédiate,,"Professeur d'anglais

|
Freelance (Can Tho, Vietnam)","Audit interne
Domaine informatique client-serveur
Électricité
Électronique
Gestion de Maintenance Assistée par Ordinateur (GMAO)
Gestion de parc informatique
Infogérance / télémaintenance
Informatique de gestion
Informatique industrielle
Ingénierie de la formation
Langages de programmation informatique
Logiciel de traitement de texte
(Avancé)
Logiciels de gestion d'appels téléphoniques
Logiciel tableur
(Intermédiaire)
Micro-informatique
Système d'exploitation Windows
Système informatique (embarqué ou fixe)
Systèmes d'exploitation informatique
Technologie de l'internet
Technologie des fibres optiques"
"Technicien De Production /  Magasinier / Cariste CACES 1, 2, 3, 5 et 6",France entière,immédiate,,Titre professionnel concepteur développeur d'applications,"Administration centrale
(Avancé)
Analyse statistique
(Intermédiaire)
Application mobile sous Android
(Débutant)
Application web
Approvisionnement en ligne / E achat
(Avancé)
Architecture réseau
(Intermédiaire)
Big data Analytics
(Débutant)
Business Intelligence (BI) / Informatique décisionnelle
(Avancé)
Caractéristiques socio-culturelles des publics
(Avancé)
Cloud computing
(Intermédiaire)
CMS (Système de gestion de contenu) Joomla
(Avancé)
Conception et analyse d'enquête
(Avancé)
Données d'activité de la structure, du service
(Avancé)
E-commerce
(Avancé)
Économétrie
(Avancé)
Économie du développement durable
(Intermédiaire)
Économie sociale
(Avancé)
Exploration de données (data mining)
(Débutant)
Gestion administrative
(Avancé)
Gouvernance d'entreprise
(Intermédiaire)
HTML
(Avancé)
Ingénierie de la formation
(Intermédiaire)
Insights marketing
(Avancé)
Intelligence économique
(Intermédiaire)
Java
(Intermédiaire)
Javascript
(Intermédiaire)
Langages de programmation informatique
(Intermédiaire)
Langages de programmation pour développements mobiles
(Intermédiaire)
Logiciel de statistiques
(Intermédiaire)
Maîtrise statistique des procédés (MSP) / Statistical Process Control (SPC)
(Intermédiaire)
Merchandising / Marchandisage
(Avancé)
Modélisation et simulation
(Débutant)
MySQL
(Intermédiaire)
Négociation
(Intermédiaire)
Outils de data management
(Débutant)
Outils de web analyse - web analytics
(Avancé)
PDO (PHP Data Objects)
(Débutant)
PHP
(Avancé)
Pratique de l'enquête
(Intermédiaire)
Progiciel de gestion SAS Statistiques
(Intermédiaire)
Programmation orientée objet - POO
(Débutant)
Psychologie de l'enfant
(Intermédiaire)
Python
(Intermédiaire)
Sciences économiques et sociales
(Intermédiaire)
Search Engine Marketing (SEM)
(Avancé)
Stratégie de développement
(Avancé)
Typologie du client
(Avancé)
Webmarketing
(Avancé)
WordPress (CMS)
(Intermédiaire)
XML
(Intermédiaire)"
"Chef de projet dans l'aviation, le transport, la logistique / environnements interdisciplinaires et multiculturels",France entière,immédiate,,Lead Track Data Science  Engin,"Animer des activités culturelles et artistiques
(Avancé)
Assistance au stationnement des aéronefs et au guidage du pilote (départ au casque)
Chiffrage/calcul de coût
Code de l'aviation civile
Consignes de sécurité en cas d'urgence
Consignes générales de sécurité en vol
Dossier de vol (plan de vol, de chargement, devis de masse)
Fonctionnement et caractéristiques des aéroports (nationaux et internationaux)
(Avancé)
Gestion de projet
(Avancé)
Lecture de plan, de schéma
Marketing / Mercatique
Méthode AGILE
Méthode de classement et d'archivage
Méthodes d'analyse (systémique, fonctionnelle, de risques, ...)
Modalités d'accueil
Organisation de la chaîne logistique
Organisation et fonctionnement de site aéroportuaire
Outils de planification des ressources humaines
Procédures d'avitaillement carburant
Procédures de prise en charge des enfants mineurs
Protection des biens
Protection des personnes
Réglementation du transport
Réglementation du transport aérien
Réglementation du transport de marchandises
Réglementation du transport de matières et produits dangereux
Réglementation sécurité incendie
Règles de chargement des matières dangereuses
Règles de circulation sur piste aéroportuaire
Règles de sûreté aéroportuaire
Règles de tenue de caisse
Règles et consignes de sécurité
Surveiller les élèves
(Avancé)
Système de suivi de trafic aérien
Système Management Qualité, Sécurité, Environnement
(Intermédiaire)
Terminologie aéronautique (IATA, alphabet aéronautique, ...)"
Technicien Support,France entière,immédiate,"Administrer un système d'informations
Dépanner des équipements informatiques
Diagnostiquer la nature et l'origine des incidents et mettre en oeuvre les mesures correctives
Planifier des interventions de maintenance","Responsable Magasin

|
MACWAY (Lyon)","Connectique
Données d'activité de la structure, du service
Électricité
Électronique
Gestion administrative
Gestion de parc informatique
Informatique
Langages de programmation informatique
Logiciel de gestion de stocks
Logiciel de traitement de texte
(Avancé)
Logiciels de gestion d'appels téléphoniques
Logiciel tableur
(Intermédiaire)
Merchandising / Marchandisage
Micro-informatique
Système d'exploitation Linux
Système d'exploitation MacOS
Système d'exploitation Windows
Système informatique (embarqué ou fixe)"
Ingénieur Logiciel Junior | DevOps | Integration & API,France entière,immédiate,"Définir la stratégie des systèmes d'informations
Méthodologie SAFe
Mettre en oeuvre des préconisations fonctionnelles et techniques
Réseaux informatiques et télécoms","Master 2 Control, Signal and Image Processing and Data Science

|
Bac+5 et plus ou équivalents","Concevoir l'architecture d'un système, d'un réseau
Déployer, intégrer un logiciel, un système d'informations, une application
Déterminer l'opportunité de l'intégration d'outils IA/Data Science dans le modèle d'affaires
Mettre à jour un dossier, une base de données
Participer à la mise en place d'un Progiciel de Gestion Intégré (PGI)
Réaliser des études d'urbanisme des systèmes d'information de l'entreprise"
Consultant BI,France entière,immédiate,,"Agence de conseil en Data

|
BI Solution Specialist Front (Paris)","Analyse statistique
Assurances
Big data Analytics
Business Intelligence (BI) / Informatique décisionnelle
E-commerce
Génie énergétique
Géopolitique
Gestion commerciale, relation clients
Logiciel de statistiques
Logiciel de traitement de texte
(Intermédiaire)
Logiciels de gestion de base de données
Logiciel tableur
(Intermédiaire)
Logistique globale
Médias
Microsoft Excel
Parasites animaux et végétaux
Pratique du badminton
Réseaux de téléphonie fixe
Romans, nouvelles, contes
Sciences agricoles
SharePoint
SQL
Techniques culturales"
Responsable de laboratoire d'analyses chimiques et métallurgiques et de recherches et développements,France entière,immédiate,"Animer, coordonner une équipe
Concevoir et gérer un projet
Méthodes et outils de résolution de problèmes
Qualité : ISO 9000, 14000, 17025
Techniques de laboratoire","chef de service Maîtrise des Risques

|
Bureau Veritas (Alsace et Lorraine)","Analyse physico-chimique environnementale
(Avancé)
Gestion budgétaire
(Avancé)
Méthodes et outils de résolution de problèmes
(Avancé)
Modélisation et simulation
(Avancé)"
Architect Solution Azure,France entière,immédiate,,"Consultant Design Autorithy & sécurité

|
BPCE (Ile-de-France)","Cloud computing
(Intermédiaire)
Système d'exploitation informatique Apache Tomcat
(Intermédiaire)"
Business Development Manager,France entière,immédiate,,"Business Analyst

|
Les Grands Chais de France (Strasbourg)","Analyse statistique
Anglais des affaires
Centrales d'achat
Développement durable
Données d'activité de la structure, du service
E-commerce
(Avancé)
Économie
Économie du développement durable
Économie sociale
Gestion administrative
Gestion budgétaire
Gestion de l'information stratégique
Logiciel de gestion clients
(Avancé)
Management électronique de relation client (e-CRM)
(Avancé)
Merchandising / Marchandisage
(Avancé)
Progiciels de gestion intégrée d'entreprise (ERP)
Sociologie des organisations
Statistiques
Stratégies de communication
Stratégies de communication externe"
De l'ingénierie Oil & Gaz à la Business Intelligence et Cybersécurité,France entière,immédiate,"Business Intelligence (BI) / Informatique décisionnelle
Être à l'écoute, faire preuve d'empathie
Faire preuve de persévérance
Gérer les risques de cybersécurité
B - Véhicule léger","Ingénieur Forage, Senior

|
PDVSA (Venezuela)","Anglais technique
Big data Analytics
(Intermédiaire)
Business Intelligence (BI) / Informatique décisionnelle
Langages de programmation informatique
(Intermédiaire)
Logiciel de gestion de stocks
(Avancé)
Logiciel de statistiques
(Intermédiaire)
Logiciel de traitement de texte
(Avancé)
Logiciels de gestion de base de données
(Intermédiaire)
Logiciel tableur
(Avancé)
Modélisation et simulation
(Avancé)
SQL"
Ingénieur Contrôle Commande | Ingénieur Systèmes Embarqués | Développeur Python | À la recherche d'un CDI,France entière,immédiate,"Programme de recherche et développement
S'adapter aux changements
Travailler en équipe
Concevoir et gérer un projet
Anglais","ingénieur contrôle commande

|
CCAMY Systèmes (Rouen)","Assembleur
(Intermédiaire)
GitHub
(Intermédiaire)
HDL/VHDL
(Intermédiaire)
Microsoft Excel
(Avancé)
Python
(Avancé)
SolidWorks
(Débutant)
Suite bureautique - LibreOffice
(Avancé)
Système d'exploitation Linux
(Débutant)
Système d'exploitation Windows
(Avancé)"
"Responsable QSE, Power BI et gestion de la Facturation.",France entière,immédiate,"Audit interne
GED
Repoting
Allemand
Anglais",ANGLAIS TOUS NIVEAUX PRÉSENTIE,"Audit interne
Caractéristiques de la chaîne logistique (Supply Chain)
Démarche qualité
Données d'activité de la structure, du service
Gestion administrative
Logiciel de gestion clients
Logiciel de traitement de texte
(Intermédiaire)
Logiciel tableur
(Intermédiaire)"
Consultant,France entière,immédiate,"Concevoir et gérer un projet
Préconiser des améliorations en matière d'organisation, de gestion, de procédures
Recueillir et analyser les besoins client",PMP - PROFESSIONNEL EN MANAGEM,"Collecter des informations pour préparer une séquence de formation, une leçon
Concevoir et préparer les cours, les travaux dirigés ou les travaux pratiques
Conseiller, accompagner une personne
Conseiller des chercheurs, institutions, entreprises sur des questions scientifiques
Définir un objectif d'apprentissage et le programme des activités pédagogiques
Développer une démarche pédagogique pour l'enseignement des savoirs fondamentaux
Enseigner, transmettre des connaissances, développer des compétences
Évaluer des acquis d'apprentissage, de formation ou d'expérience
Organiser l'espace pédagogique"
Chargé de projets Analyses et études économiques,France entière,immédiate,"Développement économique
Adapter les outils de traitement statistique de données
Analyse statistique
Gestion de projet
Réaliser une étude",Anglais professionnel - Préparation au Tests TOEIC (Test of English for International Communication),"Analyse statistique
(Avancé)
Conception et analyse d'enquête
Développement durable
(Avancé)
Développement économique
(Intermédiaire)
Économie du développement durable
(Avancé)
Logiciel de statistiques
Logiciel de traitement de texte
(Avancé)
Logiciels de gestion de base de données
Logiciel tableur
(Avancé)
Sciences économiques et sociales
(Intermédiaire)"
MSc in Management and Engineering of Environment and Energy | B.Sc. Chemical Engineering,France entière,immédiate,"Eco-design
LCA softwares (Gabi and SimaPro)
Product development
Project Management
Sustainable Materials Expertise","Eco Design Intern

|
MATERI'ACT / FORVIA (Lyon, France)Cette Expérience contient une pièce jointe",
géomaticienne-ingénieure SIG,France entière,immédiate,,"Stage Cheffe de Projet conventions de servitude

|
Enedis (Eysines)","Analyse statistique
Géomatique
Histoire de l'architecture
Langages de programmation informatique
Langages de programmation pour développements mobiles
Logiciel de statistiques
Maîtrise des logiciels de mesure (calcul, métré, CAO/DAO) et des logiciels de cartographie et SIG (systèmes d'information géographique)
Maîtrise du pack Office (Word, Excel, Outlook, PowerPoint)
Progiciel de gestion SAS BI
Python
Sémiologie
Système d'exploitation informatique Open BSD
Système d'exploitation Unix
Système d'Information Géographique (SIG)
Télédétection"
Consultant Senior IT    Direction de Projet  Infrastructures / Services Certif ITIL V4 / Formé ISAE 3402 /Anglais Bilingue,France entière,immédiate,"Lancer et gérer un appel d'offres
Rédiger un cahier des charges, des spécifications techniques
Direction de projet
Conduite au changement (Coaching)
Management de transition","ITIL V4

|
Bac+5 et plus ou équivalents","Audit interne
Cloud computing
(Avancé)
Communication digitale
(Avancé)
Contrats d'externalisation de services
(Avancé)
Contrôle technique
(Avancé)
DataMart (Magasin de données)
(Avancé)
Gestion budgétaire
Gestion des risques
(Avancé)
Gouvernance d'entreprise
(Intermédiaire)
Information Technology Infrastructure Library (ITIL)
(Avancé)
Management stratégique
(Avancé)
Négociation
(Avancé)
Stratégie internationale
(Avancé)
Système d'exploitation informatique VMWare (virtualisation d'architecture)
(Intermédiaire)
Technologies informatiques
Technologies télécoms"
"Professionnelle aguerrie avec un Bac +5 en Monnaie, Banque, Finance et Assurance, spécialisée en gestion des risques. Forte d'une solide expérience en contrôle de gestion et optimisation des processus",France entière,immédiate,,"Master Gestion d'actifs

|
Bac+5 et plus ou équivalents","Déterminer et développer les méthodes de recherche, de recueil et d'analyse de données
(Avancé)"
Analyste Développeur #Ingénieur d'état en développement informatique,France entière,immédiate,,"Chef de service IT

|
ONM (alger)","Application web
HTML
(Intermédiaire)
Informatique de gestion
(Intermédiaire)
Informatique scientifique et technique
(Intermédiaire)
Java
(Intermédiaire)
MySQL
(Avancé)
Paramétrage de logiciels
(Avancé)
Python
(Avancé)
Script Shell
(Avancé)
Système d'exploitation Unix
(Avancé)
Système embarqué
(Intermédiaire)"
J'aide les entreprises dans le domaine du dévelopement commercial et la génération d'Insights ainsi que dans la direction des études consommateurs.,France entière,immédiate,"Faire preuve de leadership
Adapter les outils de traitement statistique de données
Diriger et gérer un ensemble, une structure, une organisation
Réaliser des études spécifiques
Anglais","Master in Business Administration Spécialités marketing et Statistiques

|
Bac+5 et plus ou équivalents","Algorithmique
Analyse statistique
Big data Analytics
Conception et analyse d'enquête
Gestion budgétaire
Intelligence économique
Langages de programmation informatique
Logiciel de statistiques
Logiciel de traitement de texte
(Avancé)
Logiciels de gestion de base de données
Logiciel tableur
(Avancé)
Modélisation et simulation
Modélisation statistique"
Chercheur Chimiste Concepteur d'actifs innovants pour la dermocosmétique et les compléments alimentaires,France entière,immédiate,"Programme de recherche et développement
Concevoir et gérer un projet
Intégrer l'éco-responsabilité dans toutes les dimensions de son activité
Organiser le travail d'une équipe
Procéder à des tests, expérimentations","responsable recherche  et developpement

|
Exsymol S. A. M. (Monaco)","Contrôler la conformité d'un équipement de laboratoire
(Intermédiaire)
Diagnostiquer la nature et l'origine des incidents et mettre en oeuvre les mesures correctives
(Avancé)
Mener un diagnostic ou un test/essai technique
(Avancé)
Réaliser la maintenance de premier niveau
(Avancé)
Réaliser un diagnostic de pannes d'appareils et instruments de laboratoire
(Intermédiaire)"
Ingénieur en Biotechnologie,France entière,immédiate,"Faire preuve de persévérance
Prendre des initiatives et être force de proposition
S'adapter aux changements
Biologie moléculaire
Techniques de laboratoire","Ingénieur Biotechnologie

|
Bac+5 et plus ou équivalents","Analyse statistique
(Intermédiaire)
Biologie
(Avancé)
Biologie moléculaire
(Avancé)
Chimie
(Intermédiaire)
Chimie organique
(Intermédiaire)
Domaine de la biologie et de la microbiologie
(Avancé)
Écologie
(Avancé)
Langages de programmation informatique
(Intermédiaire)
Logiciel de gestion documentaire
(Intermédiaire)
Modélisation et simulation
(Intermédiaire)
Sciences de la vie et de la terre
(Avancé)
Sciences médicales
(Intermédiaire)"
Recherche d'une alternance dans le  domaine du développement (Fullstack - Front - Back - Web/mobile),France entière,immédiate,"Framework AngularJS
Blender
Node.js
React.js
React Native","Développeur Fullstack 
Cette Expérience contient une pièce jointe","Application web
Blender
(Avancé)
CSS
(Avancé)
Framework AngularJS
(Intermédiaire)
HTML
(Avancé)
Modélisation 3D
(Avancé)
Node.js
(Avancé)
PHP
(Intermédiaire)
Python
React.js
(Avancé)
SQL
(Avancé)
WordPress (CMS)
(Intermédiaire)"
Cadre coordinateur programme de médicalisation des systèmes d’informations PMSI,France entière,immédiate,,"DEDALUS éditeur

|
DEDALUS  (Télétravail ou déplacements )","Business Intelligence (BI) / Informatique décisionnelle
(Avancé)
Logiciels de gestion de planning
(Avancé)
Logiciels métiers
(Avancé)
Microsoft Excel
(Avancé)
Paramétrage de logiciels
(Avancé)"
Temps partiel profil tout terrain,France entière,immédiate,,"Responsable Logistique et Supply Chain site

|
Confidentiel, secteur automobile et aéronautique","Audit interne
Caractéristiques de la chaîne logistique (Supply Chain)
Gestion de Production Assistée Par Ordinateur (GPAO)
Gestion des flux de production
Logiciel de traitement de texte
(Intermédiaire)
Logiciel tableur
(Intermédiaire)
Progiciels de gestion intégrée d'entreprise (ERP)"
Consultant en ressources humaines,France entière,immédiate,"Élaborer des processus, méthodes et outils de gestion des ressources humaines
Indicateurs des Ressources Humaines
Ingénierie de la formation
Méthode de Gestion Prévisionnelle des Emplois et des Compétences -GPEC-
Utiliser les outils numériques","Consultant en Ressources Humaines et Rémunération

|
LHH (ADECCO) (Paris, Ile de France, France)Cette Expérience contient une pièce jointe","Analyser les besoins de l'entreprise en formation, en recrutement et en mobilité professionnelle
(Avancé)
Concevoir et piloter une politique de gestion des ressources humaines
(Avancé)
Gérer les carrières
(Avancé)
Recruter et intégrer une personne
(Intermédiaire)
Techniques commerciales
(Intermédiaire)
Techniques de communication orales, écrites et numériques"
"Agent de relations clients, bilingue anglais.",France entière,immédiate,"Logiciel de gestion hôtelière
Améliorer une procédure qualité
Accueillir, orienter et renseigner un client
Animer, coordonner une équipe
Anglais","Guest Relations Officer

|
Fraser Suites Diplomatic Area (Bahreïn)","Caractéristiques de l'offre touristique
(Intermédiaire)
Facturation hôtelière
(Intermédiaire)
Logiciel de gestion hôtelière
(Débutant)
Logiciel de réservation
(Débutant)
Logiciel de traitement de texte
(Intermédiaire)
Logiciel tableur
(Intermédiaire)
Maîtrise de l’anglais (écrit et oral)
(Avancé)
Modes de paiement
(Intermédiaire)
Typologie du client
(Intermédiaire)"
"Ingénieur en informatique, en IA de préférence",France entière,immédiate,"Proposer des pistes d'amélioration des solutions
Python
IA
R&D
Anglais","Ingénieur en informatique

|
Bac+5 et plus ou équivalents","Anglais technique
Application web
Apprentissage automatique (machine learning)
(Avancé)
C/C++
C#
CSS
HTML
Informatique scientifique et technique
Java
Python
SQL"
A la recherche d'un emploi dans le traitement d'images (vision par ordinateur et Apprentissage Automatique),France entière,immédiate,"C/C++
C#
Coder
Python
Logiciel de traitement d'images","Stage

|
Laboratoire CReSTIC (Troyes)","Anglais niveau avancé B2
Application web
Apprentissage automatique (machine learning)
ASP.NET
C/C++
C#
CSS
Gestion de version GIT
HTML
Logiciel de traitement d'images
Microsoft Visual Studio
Photogrammétrie
PHP
Python
SQL
Système d'exploitation Linux"
COORDINATEUR DE PROJETS / ENSEIGNANT / FORMATEUR DES FORMATEURS,France entière,immédiate,"Sciences économiques et sociales
Concevoir et piloter une politique de gestion des ressources humaines
Animer, coordonner une équipe
Gestion de projet
Méthodes d'enquête","Chefde projet - Chargé de mission

|
Réseau des professionnels Afrique-Europe en dévoloppement des industries culturelles (Europe - Afrique)","Analyse statistique
(Avancé)
Big data Analytics
(Intermédiaire)
Économie
Économie du développement durable
(Intermédiaire)
Gestion administrative
(Avancé)
Logiciel de traitement de texte
(Intermédiaire)
Logiciel tableur
(Intermédiaire)
Sciences économiques et sociales
Sociologie des organisations
Stratégies de communication externe"
Manager - Consultant - Formateur,France entière,immédiate,"Données d'activité de la structure, du service
Gestion administrative
Management d'entreprise
Sécurité sanitaire des aliments
Anglais","Responsable du Bureau des Entreprises

|
Rectorat de Paris (Paris 18)","Analyse et d'optimisation des coûts
(Intermédiaire)
Conception et analyse d'enquête
Développement économique
Données d'activité de la structure, du service
(Avancé)
Économie du développement durable
Gestion administrative
(Avancé)
Logiciel de traitement de texte
(Avancé)
Logiciel tableur
(Avancé)
Production en assurances
Sociologie des organisations
(Débutant)
Souscription en assurances"
Ingénieur d'ETAT en Génie Industriel à la recherche d'une opportunité professionnelle.,France entière,immédiate,"AMDEC
Lean management
Lean Manufacturing
Management de la chaîne logistique (Supply chain management)
Personal skills","Stage PFE

|
ALTEN (TETOUAN)","Big data Analytics
(Intermédiaire)
Catia
(Avancé)
Gestion de Maintenance Assistée par Ordinateur (GMAO)
(Avancé)
Management de la chaîne logistique (Supply chain management)
(Avancé)
Management opérationnel
(Avancé)
Microsoft Excel
(Avancé)
Modélisation 3D
(Intermédiaire)
Progiciels de gestion intégrée d'entreprise (ERP)
(Intermédiaire)"
Analyste Quantitatif Risque de Crédit,France entière,immédiate,"Définir et faire évoluer des procédés de traitement de l'information
Présenter et diffuser les résultats des études réalisées
Réaliser une étude
Adapter les outils de traitement statistique de données","Analyste Risque de Crédit

|
Banque Internatioale à Luxembourg (Luxembourg)Cette Expérience contient une pièce jointe","Adapter les outils de traitement statistique de données
(Débutant)
Collecter les informations sur la situation d'un bénéficiaire
Définir et faire évoluer des procédés de traitement de l'information
Réaliser un modèle de prévision"
Ingénieur chargé d'affaie,France entière,immédiate,"Être à l'écoute, faire preuve d'empathie
Faire preuve de curiosité
Organiser son travail selon les priorités et les objectifs
S'adapter aux changements
Travailler en équipe","Chargé d'affaire contrôleur technique de construction

|
APAVE  (Poitiers)","Établir l'état d'avancement de travaux
(Intermédiaire)
Identifier des moyens techniques et matériels pour un chantier
(Intermédiaire)
Planifier des opérations de chantier
(Intermédiaire)"
Manoeuvre de chantier,France entière,immédiate,"Faire preuve de persévérance
Faire preuve de rigueur et de précision
Travailler en équipe
Engin de chantier (CACES R 482) - Depuis le 01/01/2020
B - Véhicule léger","Manœuvre 

|
CFM Solar (Aubignosc)","Gestes et postures de manutention
(Avancé)
Maintenance de véhicules
(Avancé)
Techniques culturales
(Débutant)
Techniques de soins aux arbres ou ceps
(Débutant)
Techniques de taille de végétaux
(Intermédiaire)"
Ingénieur étude en application scientifique informatique,France entière,immédiate,"Algorithmique
C/C++
Informatique C/C++, python, Matlab, IDL,Java, PHP5, SQL
Python
Réaliser des études et développements informatiques","Ingénieur Data manager

|
CHU de Clermont-Ferrand (Clermont-Ferrand, Puy de Dôme)","Algorithmique
(Avancé)
Analyse statistique
(Intermédiaire)
Architecture propriétaire
Architecture web
(Intermédiaire)
Business Intelligence (BI) / Informatique décisionnelle
C/C++
(Avancé)
C#
(Débutant)
Environnement / nature
Fortran
(Intermédiaire)
Gestion de version GIT
(Intermédiaire)
GitLab
(Intermédiaire)
HTML
(Intermédiaire)
Informatique
(Avancé)
Informatique industrielle
(Avancé)
Informatique scientifique et technique
(Avancé)
J2EE
(Intermédiaire)
Java
(Intermédiaire)
Langages de programmation informatique
(Avancé)
Logiciel de traitement de texte
(Intermédiaire)
Logiciel tableur
(Intermédiaire)
Mathématiques
(Débutant)
Modélisation et simulation
(Débutant)
PHP
(Intermédiaire)
Programmation logicielle
(Avancé)
Python
(Avancé)
Sciences de l'information et de la communication
Sciences de l'univers
Sciences de la vie et de la terre
Sciences physiques
(Intermédiaire)
Script Shell
(Avancé)
SQL
(Avancé)
Visual Basic
(Intermédiaire)
XML
(Intermédiaire)"
A la recherche d'un emploi à visée internationale,France entière,immédiate,"Participer à la définition d'une stratégie de développement de produits
Concevoir des supports de communication visuelle
Concevoir et gérer un projet
Excellente culture digitale (Internet et réseaux sociaux, publicité online, outils collaboratifs…), marketing et commerciale (marketing direct, CRM, produits…)","Manager Marketing Digital

|
Talentis Group SA (Beehire) (Bruxelles, Belgique)Cette Expérience contient une pièce jointe","Analyser les insights et les usages des consommateurs
(Intermédiaire)
Concevoir des modèles de détection des insights consommateurs
(Intermédiaire)
Développer l'image et la notoriété d'une entreprise
(Intermédiaire)
Élaborer une stratégie commerciale
(Intermédiaire)
Élaborer une stratégie de marketing digital
(Intermédiaire)
Mener une campagne d'e-mailing
(Intermédiaire)
Participer aux phases créatives d'un projet marketing
(Intermédiaire)
Réaliser une étude marketing
(Intermédiaire)"
"A la recherche d'un emploi dans l'analyse des données,",France entière,immédiate,"Déterminer et développer les méthodes de recherche, de recueil et d'analyse de données
Économie
Établir un rapport d'étude ou de recherche
Rédiger une publication scientifique
Logiciel d'analyses économétriques","Thèse de doctorat

|
Bac+5 et plus ou équivalents","Analyse statistique
Conception et analyse d'enquête
(Avancé)
Économie
Modélisation et simulation
Sciences humaines et sociales"
Ingénieur DevOps - Automatisation et Cloud,France entière,immédiate,"Kubernetes
Jenkins
Cloud computing
Docker
Monitoring","Devops Engineer

|
 (Mars)","ASP.NET
(Débutant)
Cloud computing
(Avancé)
DataMart (Magasin de données)
Docker
(Avancé)
Gestion de version GIT
(Avancé)
GitHub
(Avancé)
GitLab
(Avancé)
J2EE
(Intermédiaire)
Java
(Intermédiaire)
Javascript
(Débutant)
Kubernetes
Microsoft SQL Server
(Intermédiaire)
MySQL
(Débutant)
Oracle
(Débutant)
Outil Maven
(Intermédiaire)
PHP
(Débutant)
Python
(Avancé)
Script Shell
(Intermédiaire)
Système d'exploitation Linux
(Intermédiaire)
Système d'exploitation Windows
(Intermédiaire)"
Regie Artistique- Direction Artistique- Création d'univers scéniques,France entière,immédiate,"Appropriation d'espace scénique
Concevoir et gérer un projet
Concevoir une chorégraphie (aspects artistiques, esthétiques et techniques)
Mettre en scène un spectacle","Regie artistique de terrain pour SPECTACLE OUVERTURE des JO

|
Panam24 (paris)","Concevoir une chorégraphie (aspects artistiques, esthétiques et techniques)
Danser, interpréter une chorégraphie
Mettre en scène un spectacle"
Journaliste de sport,France entière,immédiate,,"Diplôme de l'Institut Pratique du Journalisme - Paris-Dauphine

|
Bac+5 et plus ou équivalents","Commentaire de programmes en direct (rencontre sportive, défilé militaire, ...)
Culture sportive
Économie
Sciences de l'information et de la communication
Sciences politiques"
Développeur Full Stack - Disponible,France entière,immédiate,"Faire preuve de curiosité
Faire preuve de persévérance
Travailler en équipe
Diagnostiquer la nature et l'origine des incidents et mettre en oeuvre les mesures correctives
Développer un logiciel, un système d'informations, une application","Bachelor Concepteur Développeur d'Applications, En cours

|
Bac+3, Bac+4 ou équivalents","Anglais technique
Apache
Application web
Architecture MVC (Modèle - Vue - Contrôleur)
(Intermédiaire)
C/C++
(Avancé)
CSS
(Avancé)
Docker
(Avancé)
Gestion commerciale, relation clients
Gestion de configuration
GitLab
(Avancé)
HTML
(Avancé)
Javascript
(Avancé)
Langages de programmation informatique
(Intermédiaire)
Microsoft Active Directory
(Intermédiaire)
MySQL
(Avancé)
Node.js
(Avancé)
PHP
(Intermédiaire)
Programmation logicielle
(Intermédiaire)
Python
(Débutant)
Script Shell
SQL
(Avancé)
Système d'exploitation Linux
(Avancé)
Système d'exploitation Windows
(Avancé)
Système embarqué
Systèmes d'exploitation informatique
(Avancé)
Technologies de l'accessibilité numérique
Visual Basic
XML"
Ingénieur Mécatronique,France entière,immédiate,"Concevoir des modèles théoriques (calcul, simulation, modélisation)
Automatisme
Résistance Des Matériaux (RDM)
Utilisation d'Automate Programmable Industriel (API)","Ingénieur IoT Solution

|
Braincube (Issoire)Cette Expérience contient une pièce jointe","Autocad
Automatisme
Hydraulique
Ingénierie des structures
Mécanique
Pneumatique
React.js
Résistance Des Matériaux (RDM)
SolidWorks"
Consultante Conduite de changement senior,France entière,immédiate,"Communication digitale
Stratégies de communication externe
Concevoir des supports de communication et d'image
Participer aux phases créatives d'un projet marketing","Consultante conduite de changement 

|
Henko Consulting (Paris)","Analyse statistique
Communication digitale
Conception et analyse d'enquête
Données d'activité de la structure, du service
E-commerce
(Intermédiaire)
Knowledge Management
Logiciel de gestion clients
(Intermédiaire)
Logiciels de montage photo
Médias
Merchandising / Marchandisage
(Intermédiaire)
Outils de web analyse - web analytics
(Intermédiaire)
Stratégies de communication externe
Webmarketing
(Intermédiaire)"
